"","Survey_ID","Km","JJ","JA","Junkn","CJ","CA","Cunkn","Jackrabbits","CottonTails"
"1",1,1,0,0,0,0,0,0,0,0
"2",1,2,0,0,0,0,0,0,0,0
"3",1,3,0,0,0,0,0,0,0,0
"4",1,4,0,0,0,0,0,0,0,0
"5",1,5,0,1,0,0,0,0,1,0
"6",1,6,0,0,0,0,0,0,0,0
"7",1,7,0,0,0,0,0,0,0,0
"8",1,8,0,0,1,0,0,0,1,0
"9",1,9,0,2,0,0,0,0,2,0
"10",2,1,0,0,0,0,0,0,0,0
"11",2,2,0,0,0,0,0,0,0,0
"12",2,3,0,0,0,0,0,0,0,0
"13",2,4,0,0,0,0,0,0,0,0
"14",2,5,0,0,0,0,0,0,0,0
"15",2,6,0,1,0,0,0,0,1,0
"16",2,7,0,0,0,0,0,0,0,0
"17",2,8,0,1,0,0,0,0,1,0
"18",3,1,0,1,0,0,0,0,1,0
"19",3,2,0,1,1,0,0,0,2,0
"20",3,3,0,0,0,0,0,0,0,0
"21",3,4,0,2,1,0,0,0,3,0
"22",3,5,0,3,0,0,0,0,3,0
"23",3,6,0,0,1,0,0,0,1,0
"24",3,7,0,3,1,0,0,0,4,0
"25",3,8,0,1,0,0,0,0,1,0
"26",3,9,0,0,0,0,0,0,0,0
"27",4,1,0,1,1,0,0,0,2,0
"28",4,2,0,0,0,0,0,0,0,0
"29",4,3,0,0,0,0,0,0,0,0
"30",4,4,0,2,0,0,0,0,2,0
"31",4,5,0,0,0,0,0,0,0,0
"32",4,6,0,0,0,0,0,0,0,0
"33",4,7,0,0,0,0,0,0,0,0
"34",4,8,0,0,0,0,0,0,0,0
"35",4,9,0,0,0,0,0,0,0,0
"36",4,10,0,0,1,0,0,0,1,0
"37",4,11,0,2,0,0,0,0,2,0
"38",5,1,0,0,0,0,0,0,0,0
"39",5,2,0,0,0,0,0,0,0,0
"40",5,3,0,2,0,0,0,0,2,0
"41",5,4,0,0,0,0,0,0,0,0
"42",5,5,0,0,0,0,0,0,0,0
"43",5,6,0,0,0,0,0,0,0,0
"44",5,7,0,0,0,0,0,0,0,0
"45",5,8,0,0,1,0,0,0,1,0
"46",5,9,0,0,1,0,0,0,1,0
"47",5,10,0,0,0,0,0,0,0,0
"48",5,11,0,0,0,0,0,0,0,0
"49",6,1,0,2,1,0,0,0,3,0
"50",6,2,0,0,0,0,0,0,0,0
"51",6,3,0,0,0,0,0,0,0,0
"52",6,4,0,0,0,0,0,0,0,0
"53",6,5,0,1,1,0,0,0,2,0
"54",6,6,0,0,0,0,0,0,0,0
"55",6,7,0,1,0,0,0,0,1,0
"56",6,8,0,2,0,0,0,0,2,0
"57",6,9,0,2,0,0,0,0,2,0
"58",7,1,0,0,0,0,0,0,0,0
"59",7,2,0,0,0,0,0,0,0,0
"60",7,3,0,0,0,0,0,0,0,0
"61",7,4,0,0,0,0,0,0,0,0
"62",7,5,1,0,0,0,0,0,1,0
"63",7,6,0,0,0,0,0,0,0,0
"64",7,7,0,0,0,0,0,0,0,0
"65",7,8,0,0,0,0,0,0,0,0
"66",8,1,0,0,0,0,0,0,0,0
"67",8,2,0,0,0,0,0,0,0,0
"68",8,3,0,0,0,0,0,0,0,0
"69",8,4,0,0,1,0,0,0,1,0
"70",8,5,0,0,0,0,0,0,0,0
"71",8,6,0,0,0,0,0,0,0,0
"72",8,7,0,0,1,0,0,0,1,0
"73",8,8,0,1,0,0,0,0,1,0
"74",8,9,0,0,0,0,0,0,0,0
"75",9,1,0,0,0,0,0,0,0,0
"76",9,2,0,0,0,0,0,0,0,0
"77",9,3,0,0,0,0,0,0,0,0
"78",9,4,0,2,1,0,0,0,3,0
"79",9,5,0,0,0,0,0,0,0,0
"80",9,6,0,0,0,0,0,0,0,0
"81",9,7,0,0,0,0,0,0,0,0
"82",9,8,1,0,1,0,0,0,2,0
"83",9,9,0,2,0,0,0,0,2,0
"84",10,1,0,0,0,0,0,0,0,0
"85",10,2,0,0,0,0,0,0,0,0
"86",10,3,0,0,0,0,0,0,0,0
"87",10,4,0,0,0,0,0,0,0,0
"88",10,5,0,0,0,0,0,0,0,0
"89",10,6,0,0,0,0,0,0,0,0
"90",10,7,0,0,0,0,0,0,0,0
"91",10,8,0,0,1,0,0,0,1,0
"92",11,1,0,0,0,0,0,0,0,0
"93",11,2,1,0,0,0,0,0,1,0
"94",11,3,0,0,0,0,0,0,0,0
"95",11,4,0,0,0,0,0,0,0,0
"96",11,5,0,0,0,0,0,0,0,0
"97",11,6,0,0,0,0,0,0,0,0
"98",11,7,0,1,1,0,0,0,2,0
"99",11,8,0,0,0,0,0,0,0,0
"100",11,9,0,0,0,0,0,0,0,0
"101",11,10,0,0,0,0,0,0,0,0
"102",12,1,1,2,1,0,0,0,4,0
"103",12,2,0,1,0,0,0,0,1,0
"104",12,3,0,0,0,0,0,0,0,0
"105",12,4,0,1,0,0,0,0,1,0
"106",12,5,1,0,0,0,0,0,1,0
"107",12,6,5,3,1,0,0,0,9,0
"108",12,7,5,1,1,0,0,0,7,0
"109",12,8,3,2,1,0,0,0,6,0
"110",12,9,2,3,1,0,0,0,6,0
"111",13,1,0,0,0,0,0,0,0,0
"112",13,2,0,0,0,0,0,0,0,0
"113",13,3,0,0,0,0,0,0,0,0
"114",13,4,0,0,0,0,0,0,0,0
"115",13,5,0,1,0,0,0,0,1,0
"116",13,6,0,0,0,0,0,0,0,0
"117",13,7,0,0,0,0,0,0,0,0
"118",13,8,0,0,0,0,0,0,0,0
"119",14,1,0,0,0,0,0,0,0,0
"120",14,2,0,0,0,0,0,0,0,0
"121",14,3,0,0,0,0,0,0,0,0
"122",14,4,0,0,0,0,0,0,0,0
"123",14,5,0,0,0,0,0,0,0,0
"124",14,6,0,0,0,0,0,0,0,0
"125",14,7,0,0,3,0,0,0,3,0
"126",14,8,0,1,1,0,0,0,2,0
"127",14,9,0,2,2,0,0,0,4,0
"128",15,1,0,2,0,0,0,0,2,0
"129",15,2,0,1,0,0,0,0,1,0
"130",15,3,0,1,0,0,0,0,1,0
"131",15,4,0,0,0,0,0,0,0,0
"132",15,5,0,1,0,0,0,0,1,0
"133",15,6,0,4,3,0,0,0,7,0
"134",15,7,6,4,1,0,0,0,11,0
"135",15,8,1,1,0,0,0,0,2,0
"136",15,9,2,0,0,0,0,0,2,0
"137",16,1,0,1,0,0,0,0,1,0
"138",16,2,0,0,1,0,0,0,1,0
"139",16,3,0,0,0,0,0,0,0,0
"140",16,4,0,0,0,0,0,0,0,0
"141",16,5,0,0,0,0,0,0,0,0
"142",16,6,0,0,0,0,0,0,0,0
"143",16,7,1,0,0,0,0,0,1,0
"144",16,8,0,1,0,0,0,0,1,0
"145",16,9,0,0,0,0,0,0,0,0
"146",16,10,0,0,0,0,0,0,0,0
"147",17,1,0,0,0,0,0,0,0,0
"148",17,2,0,0,0,0,0,0,0,0
"149",17,3,0,0,0,0,0,0,0,0
"150",17,4,0,0,0,0,0,0,0,0
"151",17,5,0,0,0,0,0,0,0,0
"152",17,6,0,0,0,0,0,0,0,0
"153",17,7,0,0,0,0,0,0,0,0
"154",17,8,0,1,0,0,0,0,1,0
"155",17,9,0,0,0,0,0,0,0,0
"156",17,10,0,1,0,0,0,0,1,0
"157",18,1,0,0,0,0,0,0,0,0
"158",18,2,0,0,0,0,0,0,0,0
"159",18,3,0,0,0,0,0,0,0,0
"160",18,4,0,0,0,0,0,0,0,0
"161",18,5,0,0,0,0,0,0,0,0
"162",18,6,0,0,0,0,0,0,0,0
"163",18,7,0,0,0,0,0,0,0,0
"164",18,8,0,0,0,0,0,0,0,0
"165",18,9,0,0,0,0,0,0,0,0
"166",19,1,0,0,0,0,0,0,0,0
"167",19,2,0,3,0,0,0,0,3,0
"168",19,3,0,0,0,0,0,0,0,0
"169",19,4,0,0,1,0,0,0,1,0
"170",19,5,0,2,1,0,0,0,3,0
"171",19,6,0,2,1,0,0,0,3,0
"172",19,7,0,0,1,0,0,0,1,0
"173",19,8,2,0,1,0,0,0,3,0
"174",19,9,0,1,2,0,0,0,3,0
"175",20,1,0,2,0,0,0,0,2,0
"176",20,2,0,0,0,0,0,0,0,0
"177",20,3,0,0,2,0,0,0,2,0
"178",20,4,0,0,0,0,0,0,0,0
"179",20,5,0,0,0,0,0,0,0,0
"180",20,6,0,0,0,0,0,0,0,0
"181",20,7,0,0,0,0,0,0,0,0
"182",20,8,0,0,0,0,0,0,0,0
"183",20,9,0,0,0,0,0,0,0,0
"184",20,10,0,0,0,0,0,1,0,1
"185",20,11,0,0,0,0,0,0,0,0
"186",21,1,0,0,0,0,0,0,0,0
"187",21,2,0,0,0,0,0,0,0,0
"188",21,3,0,0,0,0,0,0,0,0
"189",21,4,0,0,0,0,0,0,0,0
"190",21,5,0,0,0,0,0,0,0,0
"191",21,6,0,0,0,0,0,0,0,0
"192",21,7,0,0,0,0,0,0,0,0
"193",21,8,0,0,0,0,0,0,0,0
"194",22,1,0,0,0,0,0,0,0,0
"195",22,2,0,0,0,0,0,0,0,0
"196",22,3,0,1,0,0,0,0,1,0
"197",22,4,0,0,0,0,0,0,0,0
"198",22,5,0,1,0,0,0,0,1,0
"199",22,6,0,0,1,0,0,0,1,0
"200",22,7,0,1,0,0,0,0,1,0
"201",22,8,0,0,1,0,0,0,1,0
"202",22,9,0,1,1,0,0,0,2,0
"203",23,1,0,2,0,0,0,0,2,0
"204",23,2,0,2,0,0,0,0,2,0
"205",23,3,0,0,0,0,0,0,0,0
"206",23,4,0,0,0,0,0,0,0,0
"207",23,5,0,0,0,0,0,0,0,0
"208",23,6,0,0,1,0,0,0,1,0
"209",23,7,0,3,3,0,0,0,6,0
"210",23,8,0,3,2,0,0,0,5,0
"211",23,9,1,6,2,0,0,0,9,0
"212",24,1,0,0,1,0,0,0,1,0
"213",24,2,0,0,0,0,0,0,0,0
"214",24,3,0,2,0,0,0,0,2,0
"215",24,4,0,0,0,0,0,0,0,0
"216",24,5,0,0,0,0,0,0,0,0
"217",24,6,0,0,1,0,0,0,1,0
"218",24,7,0,0,0,0,0,0,0,0
"219",24,8,0,0,0,0,0,0,0,0
"220",24,9,0,0,0,0,0,0,0,0
"221",24,10,0,1,0,0,0,0,1,0
"222",24,11,0,0,1,0,0,0,1,0
"223",25,1,0,0,0,0,0,0,0,0
"224",25,2,0,0,0,0,0,0,0,0
"225",25,3,0,1,0,0,0,0,1,0
"226",25,4,0,0,0,0,0,0,0,0
"227",25,5,0,0,0,0,0,0,0,0
"228",25,6,0,0,0,0,0,0,0,0
"229",25,7,0,0,0,0,0,0,0,0
"230",25,8,0,3,1,0,0,0,4,0
"231",25,9,0,1,1,0,0,0,2,0
"232",26,1,0,0,0,0,0,0,0,0
"233",26,2,0,0,0,0,0,0,0,0
"234",26,3,0,0,0,0,0,0,0,0
"235",26,4,0,0,0,0,0,0,0,0
"236",26,5,0,0,0,0,0,0,0,0
"237",26,6,0,0,0,0,0,0,0,0
"238",26,7,0,0,0,0,0,0,0,0
"239",26,8,0,0,0,0,0,0,0,0
"240",27,1,0,1,0,0,0,0,1,0
"241",27,2,0,0,0,0,0,0,0,0
"242",27,3,0,0,0,0,0,0,0,0
"243",27,4,0,0,0,0,0,0,0,0
"244",27,5,0,0,0,0,0,0,0,0
"245",27,6,0,0,0,0,0,0,0,0
"246",27,7,0,0,0,0,0,0,0,0
"247",27,8,0,0,0,0,0,0,0,0
"248",27,9,0,0,0,0,0,0,0,0
"249",27,10,0,0,0,0,0,0,0,0
"250",27,11,0,0,0,0,0,0,0,0
"251",28,1,0,1,0,0,0,0,1,0
"252",28,2,0,0,0,0,0,0,0,0
"253",28,3,0,0,0,0,0,0,0,0
"254",28,4,0,1,0,0,0,0,1,0
"255",28,5,0,0,1,0,0,0,1,0
"256",28,6,0,1,0,0,0,0,1,0
"257",28,7,0,1,1,0,0,0,2,0
"258",28,8,0,2,0,0,0,0,2,0
"259",28,9,0,1,1,0,0,0,2,0
"260",29,1,0,0,0,0,0,0,0,0
"261",29,2,0,1,0,0,0,0,1,0
"262",29,3,0,0,0,0,0,0,0,0
"263",29,4,0,0,0,0,0,0,0,0
"264",29,5,0,0,0,0,0,0,0,0
"265",29,6,0,0,0,0,0,0,0,0
"266",29,7,0,0,0,0,0,0,0,0
"267",29,8,0,0,0,0,0,0,0,0
"268",30,1,0,0,0,0,0,0,0,0
"269",30,2,0,1,0,0,0,0,1,0
"270",30,3,0,0,0,0,0,0,0,0
"271",30,4,0,0,1,0,0,0,1,0
"272",30,5,0,0,0,0,0,0,0,0
"273",30,6,0,1,0,0,0,0,1,0
"274",30,7,0,0,0,0,0,0,0,0
"275",30,8,0,0,0,0,0,0,0,0
"276",30,9,0,0,0,0,0,0,0,0
