ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime
1	43.32793797	-116.22065	946.804688	2022-05-11T04:34:46Z			2btjr				"Flag, Blue"	user											SymbolAndName			2022-05-11T04:34:46Z
2	43.27527297	-116.078813	984.434631	2022-08-08T05:16:37Z			Caib				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:16:37Z
3	43.27627804	-116.080211	982.167297	2022-08-08T05:17:22Z			Caib1				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:17:22Z
4	43.28168303	-116.090057	980.011902	2022-08-08T05:19:36Z			Caib2				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:19:36Z
5	43.28086001	-116.121085	1003.394592	2022-08-08T05:23:15Z			Caib3				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:23:15Z
6	43.27838399	-116.142202	1020.049866	2022-08-08T05:25:51Z			Caib4				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:25:51Z
7	43.27847804	-116.19102	993.644043	2022-08-09T04:56:55Z			Caib5				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:56:55Z
8	43.27857401	-116.139858	1005.960571	2022-08-04T07:06:57Z			Caie				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:06:57Z
9	43.271093	-116.054185	961.098572	2022-08-04T07:18:24Z			Caie1				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:18:24Z
10	26.20681303	-97.40289696	7.039062	2022-02-25T17:57:25Z			Cayo				"Flag, Blue"	user											SymbolAndName			2022-02-25T17:57:25Z
11	43.27369499	-116.074289	985.890198	2022-08-08T05:14:37Z			Cjib				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:14:37Z
12	43.27367697	-116.076045	984.901184	2022-08-08T05:16:03Z			Cjib1				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:16:03Z
13	43.27885598	-116.137945	999.513062	2022-08-04T07:07:16Z			Cjie				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:07:16Z
14	43.27531203	-116.078923	980.049194	2022-08-08T05:16:47Z			Cunkib				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:16:47Z
15	43.282857	-116.091748	966.137146	2022-08-04T07:12:19Z			Cunkie				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:12:19Z
16	43.28013799	-116.087539	971.819519	2022-08-04T07:13:08Z			Cunkie1				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:13:08Z
17	43.34491602	-116.129885	937.967773	2022-08-02T04:41:50Z			Ja				"Flag, Blue"	user											SymbolAndName			2022-08-02T04:41:50Z
18	43.31247202	-116.134104	959.521667	2022-08-02T05:00:10Z			Ja1				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:00:10Z
19	43.20599796	-116.274224	936.297607	2022-08-05T07:11:07Z			Ja10				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:11:07Z
20	43.17401396	-116.243955	917.225647	2022-08-09T05:51:08Z			Ja101				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:51:08Z
21	43.31523696	-116.151603	961	2022-08-02T08:43:26Z			Ja11				"Flag, Blue"	user											SymbolAndName			2022-08-02T08:43:26Z
22	43.195707	-116.006717	924.718201	2022-08-09T07:25:12Z			Ja110				"Flag, Blue"	user											SymbolAndName			2022-08-09T07:25:12Z
23	43.20635201	-116.274218	939.199463	2022-08-05T07:11:21Z			Ja111				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:11:21Z
24	43.17394104	-116.243772	918.886536	2022-08-09T05:51:14Z			Ja112				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:51:14Z
25	43.16671802	-115.984585	938.35968	2022-08-12T05:40:39Z			Ja113				"Flag, Blue"	user											SymbolAndName			2022-08-12T05:40:39Z
26	43.18342198	-116.182427	960.240173	2022-08-12T06:13:12Z			Ja114				"Flag, Blue"	user											SymbolAndName			2022-08-12T06:13:12Z
27	43.34598203	-116.145594	948.246094	2022-08-04T05:19:03Z			Ja12				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:19:03Z
28	43.21429403	-116.262222	950.853455	2022-08-05T07:19:28Z			Ja121				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:19:28Z
29	43.17329203	-116.24107	919.530334	2022-08-09T05:52:15Z			Ja122				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:52:15Z
30	43.16945496	-115.975592	944.210022	2022-08-05T05:44:01Z			Ja13				"Flag, Blue"	user											SymbolAndName			2022-08-05T05:44:01Z
31	43.17292297	-116.240069	921.713745	2022-08-09T05:52:44Z			Ja131				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:52:44Z
32	43.16065497	-116.209247	932.108093	2022-08-05T06:37:10Z			Ja14				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:37:10Z
33	43.17235996	-116.238918	923.467896	2022-08-09T05:53:15Z			Ja141				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:53:15Z
34	43.16089301	-116.211121	932.593323	2022-08-05T06:37:45Z			Ja15				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:37:45Z
35	43.17225804	-116.238722	920.136841	2022-08-09T05:53:21Z			Ja151				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:53:21Z
36	43.31286597	-116.26522	952.187744	2022-08-08T05:54:39Z			Ja16				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:54:39Z
37	43.16532402	-116.221556	932.528015	2022-08-09T05:59:15Z			Ja161				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:59:15Z
38	43.310412	-116.134672	980.795654	2022-08-08T06:43:35Z			Ja17				"Flag, Blue"	user											SymbolAndName			2022-08-08T06:43:35Z
39	43.31115003	-116.134505	980.571716	2022-08-08T06:44:02Z			Ja18				"Flag, Blue"	user											SymbolAndName			2022-08-08T06:44:02Z
40	43.17863599	-115.963055	927.060242	2022-08-09T06:58:33Z			Ja19				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:58:33Z
41	43.31142001	-116.134339	961.770386	2022-08-02T05:00:45Z			Ja2				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:00:45Z
42	43.17734602	-115.964977	937.967773	2022-08-12T05:28:02Z			Ja20				"Flag, Blue"	user											SymbolAndName			2022-08-12T05:28:02Z
43	43.31523696	-116.151603	961	2022-08-02T08:43:44Z			Ja21				"Flag, Blue"	user											SymbolAndName			2022-08-02T08:43:44Z
44	43.34598203	-116.145594	948.246094	2022-08-04T05:19:22Z			Ja22				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:19:22Z
45	43.16248599	-116.214938	934.571411	2022-08-05T06:39:19Z			Ja23				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:39:19Z
46	43.31504401	-116.133532	979.050842	2022-08-08T06:46:10Z			Ja24				"Flag, Blue"	user											SymbolAndName			2022-08-08T06:46:10Z
47	43.18383998	-116.182195	967.44342	2022-08-12T06:13:04Z			Ja25				"Flag, Blue"	user											SymbolAndName			2022-08-12T06:13:04Z
48	43.31617196	-116.150318	962.382812	2022-08-02T05:50:46Z			Ja3				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:50:46Z
49	43.31523696	-116.151603	961	2022-08-02T08:55:03Z			Ja31				"Flag, Blue"	user											SymbolAndName			2022-08-02T08:55:03Z
50	43.31065197	-116.134639	967.490112	2022-08-04T05:43:40Z			Ja32				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:43:40Z
51	43.16538999	-116.22166	939.843262	2022-08-05T06:41:48Z			Ja33				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:41:48Z
52	43.206162	-116.274235	933.330444	2022-08-09T05:31:15Z			Ja34				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:31:15Z
53	43.31523696	-116.151603	961	2022-08-02T08:56:10Z			Ja4				"Flag, Blue"	user											SymbolAndName			2022-08-02T08:56:10Z
54	43.30976198	-116.1347	967.415466	2022-08-04T05:44:08Z			Ja41				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:44:08Z
55	43.169692	-116.233789	934.73938	2022-08-05T06:46:26Z			Ja42				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:46:26Z
56	43.20506204	-116.274219	929.206299	2022-08-09T05:31:39Z			Ja43				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:31:39Z
57	43.31617196	-116.150318	962.382812	2022-08-02T06:00:10Z			Ja5				"Flag, Blue"	user											SymbolAndName			2022-08-02T06:00:10Z
58	43.17539899	-116.24881	927.190857	2022-08-05T06:52:19Z			Ja51				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:52:19Z
59	43.20476297	-116.274206	925.809875	2022-08-09T05:31:48Z			Ja52				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:31:48Z
60	43.38602196	-116.208492	895.6875	2022-08-04T05:15:32Z			Ja6				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:15:32Z
61	43.17689398	-116.252987	926.976257	2022-08-05T06:53:58Z			Ja61				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:53:58Z
62	43.18623503	-116.271576	906.187439	2022-08-09T05:39:46Z			Ja62				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:39:46Z
63	43.320435	-116.241529	928.338501	2022-08-04T06:15:36Z			Ja7				"Flag, Blue"	user											SymbolAndName			2022-08-04T06:15:36Z
64	43.17702298	-116.253261	923.794495	2022-08-05T06:54:04Z			Ja71				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:54:04Z
65	43.178766	-116.256771	913.540039	2022-08-09T05:46:13Z			Ja72				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:46:13Z
66	43.18422999	-116.267996	907.876282	2022-08-05T06:59:23Z			Ja8				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:59:23Z
67	43.17604104	-116.251036	918.028076	2022-08-09T05:48:31Z			Ja81				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:48:31Z
68	43.20411304	-116.274181	937.053406	2022-08-05T07:10:09Z			Ja9				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:10:09Z
69	43.17527904	-116.248184	916.264587	2022-08-09T05:49:32Z			Ja91				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:49:32Z
70	43.30672304	-116.141743	963.002014	2022-08-02T05:06:01Z			Jai				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:06:01Z
71	43.31274896	-116.147315	951.926514	2022-08-02T05:07:53Z			Jai1				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:07:53Z
72	43.31617196	-116.150318	962.382812	2022-08-02T05:25:06Z			Jai10				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:25:06Z
73	43.387667	-116.232372	891.289062	2022-08-04T04:55:14Z			Jai11				"Flag, Blue"	user											SymbolAndName			2022-08-04T04:55:14Z
74	43.16909898	-116.195979	933.629028	2022-08-09T06:08:27Z			Jai110				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:08:27Z
75	43.30452497	-116.137063	970.000061	2022-08-04T05:50:34Z			Jai12				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:50:34Z
76	43.33707601	-116.217426	928.82373	2022-08-04T06:00:24Z			Jai13				"Flag, Blue"	user											SymbolAndName			2022-08-04T06:00:24Z
77	43.33707701	-116.217971	926.91095	2022-08-04T06:00:33Z			Jai14				"Flag, Blue"	user											SymbolAndName			2022-08-04T06:00:33Z
78	43.15747102	-116.001864	959.279114	2022-08-05T06:00:01Z			Jai15				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:00:01Z
79	43.17393299	-116.164361	941.326843	2022-08-05T06:19:51Z			Jai16				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:19:51Z
80	43.32440098	-116.239884	941.802734	2022-08-08T06:15:10Z			Jai17				"Flag, Blue"	user											SymbolAndName			2022-08-08T06:15:10Z
81	43.33703401	-116.219245	945.665588	2022-08-08T06:24:48Z			Jai18				"Flag, Blue"	user											SymbolAndName			2022-08-08T06:24:48Z
82	43.16541597	-116.199953	921.433777	2022-08-09T06:07:11Z			Jai19				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:07:11Z
83	43.31587298	-116.150318	962.921875	2022-08-02T05:08:45Z			Jai2				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:08:45Z
84	43.17282096	-116.192867	956.694519	2022-08-12T06:15:50Z			Jai20				"Flag, Blue"	user											SymbolAndName			2022-08-12T06:15:50Z
85	43.31030203	-116.145468	962.134277	2022-08-04T05:51:50Z			Jai21				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:51:50Z
86	43.33711297	-116.219708	929.747437	2022-08-04T06:00:57Z			Jai22				"Flag, Blue"	user											SymbolAndName			2022-08-04T06:00:57Z
87	43.18489904	-116.17989	968.171265	2022-08-05T06:25:22Z			Jai23				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:25:22Z
88	43.320521	-116.155053	953.932617	2022-08-08T06:32:17Z			Jai24				"Flag, Blue"	user											SymbolAndName			2022-08-08T06:32:17Z
89	43.17210004	-116.193744	941.681396	2022-08-09T06:09:45Z			Jai25				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:09:45Z
90	43.31587298	-116.150318	962.921875	2022-08-02T05:09:04Z			Jai3				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:09:04Z
91	43.31113704	-116.146099	956.993042	2022-08-04T05:51:59Z			Jai31				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:51:59Z
92	43.324347	-116.239963	932.667969	2022-08-04T06:05:51Z			Jai32				"Flag, Blue"	user											SymbolAndName			2022-08-04T06:05:51Z
93	43.17904897	-116.183536	958.448669	2022-08-05T06:27:12Z			Jai33				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:27:12Z
94	43.30675296	-116.141791	972.043457	2022-08-08T06:36:01Z			Jai34				"Flag, Blue"	user											SymbolAndName			2022-08-08T06:36:01Z
95	43.17491099	-116.188725	947.960938	2022-08-09T06:10:47Z			Jai35				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:10:47Z
96	43.31587298	-116.150318	962.921875	2022-08-02T05:09:34Z			Jai4				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:09:34Z
97	43.313762	-116.148224	955.080261	2022-08-04T05:52:27Z			Jai41				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:52:27Z
98	43.32394098	-116.240448	928.739746	2022-08-04T06:06:00Z			Jai42				"Flag, Blue"	user											SymbolAndName			2022-08-04T06:06:00Z
99	43.17576201	-116.187162	954.707031	2022-08-05T06:28:14Z			Jai43				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:28:14Z
100	43.30410797	-116.135674	982.148621	2022-08-08T06:37:47Z			Jai44				"Flag, Blue"	user											SymbolAndName			2022-08-08T06:37:47Z
101	43.17679902	-116.185221	947.932983	2022-08-09T06:11:27Z			Jai45				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:11:27Z
102	43.31587298	-116.150318	962.921875	2022-08-02T05:09:52Z			Jai5				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:09:52Z
103	43.314065	-116.148554	952.243774	2022-08-04T05:52:34Z			Jai51				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:52:34Z
104	43.32324998	-116.241401	926.546997	2022-08-04T06:06:20Z			Jai52				"Flag, Blue"	user											SymbolAndName			2022-08-04T06:06:20Z
105	43.17522699	-116.188189	957.459595	2022-08-05T06:28:26Z			Jai53				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:28:26Z
106	43.17930403	-116.183477	950.918762	2022-08-09T06:12:05Z			Jai54				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:12:05Z
107	43.31587298	-116.150318	962.921875	2022-08-02T05:10:31Z			Jai6				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:10:31Z
108	43.31586401	-116.150416	949.593811	2022-08-04T05:53:00Z			Jai61				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:53:00Z
109	43.18143404	-115.999152	949.425903	2022-08-05T05:53:17Z			Jai62				"Flag, Blue"	user											SymbolAndName			2022-08-05T05:53:17Z
110	43.17471201	-116.190974	952.832031	2022-08-05T06:30:02Z			Jai63				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:30:02Z
111	43.16741598	-116.164182	930.708496	2022-08-09T06:17:11Z			Jai64				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:17:11Z
112	43.31617196	-116.150318	962.382812	2022-08-02T05:18:56Z			Jai7				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:18:56Z
113	43.32117504	-116.155894	944.294006	2022-08-04T05:54:08Z			Jai71				"Flag, Blue"	user											SymbolAndName			2022-08-04T05:54:08Z
114	43.15843603	-116.002527	968.973694	2022-08-05T05:59:48Z			Jai72				"Flag, Blue"	user											SymbolAndName			2022-08-05T05:59:48Z
115	43.17471201	-116.190974	952.832031	2022-08-05T06:30:44Z			Jai73				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:30:44Z
116	43.185985	-116.010906	930.736511	2022-08-09T06:41:25Z			Jai74				"Flag, Blue"	user											SymbolAndName			2022-08-09T06:41:25Z
117	43.31617196	-116.150318	962.382812	2022-08-02T05:23:59Z			Jai8				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:23:59Z
118	43.17471201	-116.190974	952.832031	2022-08-05T06:31:20Z			Jai81				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:31:20Z
119	43.31617196	-116.150318	962.382812	2022-08-02T05:24:22Z			Jai9				"Flag, Blue"	user											SymbolAndName			2022-08-02T05:24:22Z
120	43.17471201	-116.190974	952.832031	2022-08-05T06:31:28Z			Jai91				"Flag, Blue"	user											SymbolAndName			2022-08-05T06:31:28Z
121	43.39990902	-116.234335	881.106567	2022-08-02T03:44:54Z			Jaib				"Flag, Blue"	user											SymbolAndName			2022-08-02T03:44:54Z
122	43.39221904	-116.234393	881.442444	2022-08-02T03:51:51Z			Jaib1				"Flag, Blue"	user											SymbolAndName			2022-08-02T03:51:51Z
123	43.27828601	-116.173101	1003.543884	2022-08-08T05:29:20Z			Jaib10				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:29:20Z
124	43.28308498	-116.188341	981.61676	2022-08-09T04:55:50Z			Jaib101				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:55:50Z
125	43.36493997	-116.234422	888.767029	2022-08-04T04:48:45Z			Jaib11				"Flag, Blue"	user											SymbolAndName			2022-08-04T04:48:45Z
126	43.35759499	-116.234367	909.798462	2022-08-09T04:41:16Z			Jaib110				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:41:16Z
127	43.27899897	-116.177727	1005.027466	2022-08-08T05:30:14Z			Jaib111				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:30:14Z
128	43.27320004	-116.20382	990.527588	2022-08-09T04:59:15Z			Jaib112				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:59:15Z
129	43.21459796	-115.986746	938.527649	2022-08-05T04:59:54Z			Jaib12				"Flag, Blue"	user											SymbolAndName			2022-08-05T04:59:54Z
130	43.29382002	-116.203233	993.168152	2022-08-08T05:33:38Z			Jaib121				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:33:38Z
131	43.249594	-116.202946	985.600952	2022-08-09T05:02:44Z			Jaib122				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:02:44Z
132	43.29468302	-116.206007	992.888245	2022-08-08T05:34:09Z			Jaib13				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:34:09Z
133	43.24191903	-116.20127	990.788818	2022-08-09T05:04:13Z			Jaib131				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:04:13Z
134	43.21494598	-115.971992	938.424988	2022-08-08T04:49:50Z			Jaib14				"Flag, Blue"	user											SymbolAndName			2022-08-08T04:49:50Z
135	43.23635001	-116.199843	986.981934	2022-08-09T05:05:20Z			Jaib141				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:05:20Z
136	43.21343699	-115.995053	939.871277	2022-08-08T04:52:27Z			Jaib15				"Flag, Blue"	user											SymbolAndName			2022-08-08T04:52:27Z
137	43.23239098	-116.198829	979.974548	2022-08-09T05:06:11Z			Jaib151				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:06:11Z
138	43.22184403	-116.195973	977.548584	2022-08-09T05:07:50Z			Jaib16				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:07:50Z
139	43.22379098	-116.205634	978.453674	2022-08-09T05:09:34Z			Jaib17				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:09:34Z
140	43.22575	-116.212305	986.328735	2022-08-09T05:10:28Z			Jaib18				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:10:28Z
141	43.22769804	-116.219083	988.082947	2022-08-09T05:11:41Z			Jaib19				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:11:41Z
142	43.34251796	-116.233589	920.472717	2022-08-02T03:59:51Z			Jaib2				"Flag, Blue"	user											SymbolAndName			2022-08-02T03:59:51Z
143	43.22823498	-116.220985	986.151489	2022-08-09T05:11:59Z			Jaib20				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:11:59Z
144	43.353987	-116.23441	898.312378	2022-08-04T04:50:46Z			Jaib21				"Flag, Blue"	user											SymbolAndName			2022-08-04T04:50:46Z
145	43.227404	-116.232128	975.365173	2022-08-09T05:14:26Z			Jaib211				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:14:26Z
146	43.21457097	-115.98738	937.379944	2022-08-05T05:00:02Z			Jaib22				"Flag, Blue"	user											SymbolAndName			2022-08-05T05:00:02Z
147	43.22740903	-116.232836	969.589478	2022-08-09T05:14:35Z			Jaib221				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:14:35Z
148	43.21316298	-115.995458	935.205933	2022-08-08T04:52:36Z			Jaib23				"Flag, Blue"	user											SymbolAndName			2022-08-08T04:52:36Z
149	43.22173096	-116.247855	960.706665	2022-08-09T05:17:02Z			Jaib231				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:17:02Z
150	43.21652798	-116.252065	959.167114	2022-08-09T05:18:32Z			Jaib24				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:18:32Z
151	43.21629002	-116.252244	955.108276	2022-08-09T05:18:39Z			Jaib25				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:18:39Z
152	43.21301697	-116.26531	946.524048	2022-08-09T05:22:14Z			Jaib26				"Flag, Blue"	user											SymbolAndName			2022-08-09T05:22:14Z
153	43.36163498	-116.234421	906.327393	2022-08-09T04:40:22Z			Jaib27				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:40:22Z
154	43.35438699	-116.234427	910.180969	2022-08-09T04:41:53Z			Jaib28				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:41:53Z
155	43.33699403	-116.217205	927.927979	2022-08-02T04:02:38Z			Jaib3				"Flag, Blue"	user											SymbolAndName			2022-08-02T04:02:38Z
156	43.21367503	-115.994644	938.154419	2022-08-05T05:01:10Z			Jaib31				"Flag, Blue"	user											SymbolAndName			2022-08-05T05:01:10Z
157	43.26578298	-116.047171	970.765198	2022-08-08T05:10:45Z			Jaib32				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:10:45Z
158	43.35356296	-116.234423	909.37854	2022-08-09T04:42:05Z			Jaib33				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:42:05Z
159	43.39502103	-116.234413	886.677002	2022-08-04T04:44:49Z			Jaib4				"Flag, Blue"	user											SymbolAndName			2022-08-04T04:44:49Z
160	43.20994299	-116.000451	938.023804	2022-08-05T05:03:12Z			Jaib41				"Flag, Blue"	user											SymbolAndName			2022-08-05T05:03:12Z
161	43.26658596	-116.047423	963.281982	2022-08-08T05:10:56Z			Jaib42				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:10:56Z
162	43.34630297	-116.234457	922.450867	2022-08-09T04:43:13Z			Jaib43				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:43:13Z
163	43.20949196	-116.001274	937.025391	2022-08-05T05:03:27Z			Jaib5				"Flag, Blue"	user											SymbolAndName			2022-08-05T05:03:27Z
164	43.26823401	-116.049211	963.860474	2022-08-08T05:11:34Z			Jaib51				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:11:34Z
165	43.33655197	-116.228712	938.294373	2022-08-09T04:44:36Z			Jaib52				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:44:36Z
166	43.21462504	-115.985722	936.633484	2022-08-05T04:59:45Z			Jaib6				"Flag, Blue"	user											SymbolAndName			2022-08-05T04:59:45Z
167	43.27976902	-116.130658	1009.188965	2022-08-08T05:24:11Z			Jaib61				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:24:11Z
168	43.32995198	-116.223079	944.993774	2022-08-09T04:45:39Z			Jaib62				"Flag, Blue"	user											SymbolAndName			2022-08-09T04:45:39Z
169	43.27938102	-116.13394	1006.511047	2022-08-08T05:24:52Z			Jaib7				"Flag, Blue"	user											SymbolAndName			2022-08-08T05:24:52Z
